type,hrsys_rotation_id,etl_date,etl_date2,profile_id,desired_location,desired_country,ingest_ts,ingest_ts_offset
Career Hub,HR-15232493,2026-05-04 02:27:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,Milton Keynes,UK,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:27:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"New Brunswick, Provincewide",Canada,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:30:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"New Jersey, Statewide",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:31:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"New Jersey, Weehawken",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:30:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"New Mexico, Statewide",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"North Carolina, Cary",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"North Carolina, Statewide",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:27:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,Nottinghamshire,UK,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:30:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"Nova Scotia, Halifax",Canada,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:30:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"Ontario, Toronto",Canada,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:30:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"Oregon, Statewide",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:27:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,Other UK Locations,UK,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:30:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"Quebec, Provincewide",Canada,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"Rhode Island, Statewide",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:31:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,Santiago de Compostela,Spain,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:27:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"Saskatchewan, Provincewide",Canada,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:30:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"Texas, Houston",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"Texas, San Antonio",USA,2026-05-05 11:46:05.124189,UTC-4
